address;flats;entrances;floors
Улица Урывского, 3;117;6;9
улица Урывского, 11;144;4;9
улица Урывского, 15-а;75;2;10
улица Урывского, 17/1;108;3;9
улица Урывского, 13;232;6;1
улица Урывского, 17;187;5;9
улица Урывского, 9;223;7;9
улица Урывского, 17-д;107;3;9
улица Урывского, 15;100;2;10
улица Урывского, 5;96;1;12
улица Урывского, 17-е;108;5;9
улица Урывского, 17/2;72;2;9
улица Урывского, 13-а;76;2;9
улица Урывского, 17/4;72;2;9
улица Урывского, 17-а;179;5;9
улица Урывского, 17/3;72;2;9
улица Урывского, 17-в;72;2;9
бульвар Победы, 7;360;11;9
бульвар Победы, 43;325;5;13
бульвар Победы, 42;435;6;15
бульвар Победы, 50;365;4;1
бульвар Победы, 35;165;3;13
бульвар Победы, 8;270;8;9
бульвар Победы, 19;302;9;9
бульвар Победы, 24;134;4;9
бульвар Победы, 48-а;270;5;1
бульвар Победы, 33;171;5;9
бульвар Победы, 50-б;280;3;17
бульвар Победы, 18;143;4;9
бульвар Победы, 1;177;3;1
бульвар Победы, 9;300;9;9
бульвар Победы, 31;233;7;9
бульвар Победы, 25;542;16;9
бульвар Победы, 50-в;280;3;17
бульвар Победы, 49;363;6;13
бульвар Победы, 37;194;5;9
бульвар Победы, 16;125;4;9
бульвар Победы, 15;143;4;9
бульвар Победы, 21;128;1;16
бульвар Победы, 3;248;7;9
бульвар Победы, 2;127;2;13
бульвар Победы, 51-а;633;14;7
бульвар Победы, 50-а;278;3;17
бульвар Победы, 36;92;1;16
бульвар Победы, 22;199;6;9
бульвар Победы, 6;108;3;9
бульвар Победы, 13;240;6;1
бульвар Победы, 17;107;3;9
бульвар Победы, 12;293;9;9
бульвар Победы, 41;107;3;9
бульвар Победы, 51;260;4;13
бульвар Победы, 28;99;3;9
бульвар Победы, 26;134;4;9
бульвар Победы, 47;175;5;9
бульвар Победы, 10;99;3;9
бульвар Победы, 18-а;79;2;10
бульвар Победы, 20;72;2;10
бульвар Победы, 4;108;3;9
улица Генерала Лизюкова, 23;242;7;9
улица Генерала Лизюкова, 17;374;11;9
улица Генерала Лизюкова, 95;124;1;16
улица Генерала Лизюкова, 43;215;6;9
улица Генерала Лизюкова, 85;354;11;9
улица Генерала Лизюкова, 3;215;9;9
улица Генерала Лизюкова, 99;354;11;9
улица Генерала Лизюкова, 66;191;5;2
улица Генерала Лизюкова, 69;143;4;9
улица Генерала Лизюкова, 21;128;1;16
улица Генерала Лизюкова, 8;143;4;9
улица Генерала Лизюкова, 69-а;108;3;9
улица Генерала Лизюкова, 12;107;3;9
улица Генерала Лизюкова, 53;250;8;9
улица Генерала Лизюкова, 67;142;4;9
улица Генерала Лизюкова, 73;324;10;9
улица Генерала Лизюкова, 61;419;12;9
улица Генерала Лизюкова, 54;171;5;9
улица Генерала Лизюкова, 18;128;1;16
улица Генерала Лизюкова, 34;342;9;9
улица Генерала Лизюкова, 35;142;4;9
улица Генерала Лизюкова, 65;324;9;9
улица Генерала Лизюкова, 103;162;5;9
улица Генерала Лизюкова, 70;107;3;9
улица Генерала Лизюкова, 55;143;4;9
улица Генерала Лизюкова, 105;162;5;9
улица Генерала Лизюкова, 76-а;78;2;10
улица Генерала Лизюкова, 47;141;4;9
улица Генерала Лизюкова, 78;189;5;9
улица Генерала Лизюкова, 36-а;175;3;12
улица Генерала Лизюкова, 97;133;4;9
улица Генерала Лизюкова, 31;215;6;9
улица Генерала Лизюкова, 61-в;210;4;п
улица Генерала Лизюкова, 93;143;4;9
улица Генерала Лизюкова, 51;60;4;5
улица Генерала Лизюкова, 91-а;143;4;9
улица Генерала Лизюкова, 40;127;1;16
улица Генерала Лизюкова, 32;143;4;9
улица Генерала Лизюкова, 44;206;6;9
улица Генерала Лизюкова, 6;128;1;16
улица Генерала Лизюкова, 14;341;9;9
улица Генерала Лизюкова, 56;324;10;9
улица Генерала Лизюкова, 16;218;7;9
улица Генерала Лизюкова, 70-а;178;5;9
улица Генерала Лизюкова, 72;218;4;10
улица Генерала Лизюкова, 27;136;4;9
улица Генерала Лизюкова, 77;128;1;16
улица Генерала Лизюкова, 46;226;7;9
улица Генерала Лизюкова, 28;145;4;9
улица Генерала Лизюкова, 57;128;1;16
улица Генерала Лизюкова, 75;126;1;16
улица Генерала Лизюкова, 46-а;87;2;10
улица Генерала Лизюкова, 63;378;11;9
улица Генерала Лизюкова, 76;178;4;10
улица Генерала Лизюкова, 93-а;68;1;12
улица Генерала Лизюкова, 36;120;1;16
улица Генерала Лизюкова, 80;274;7;9
улица Генерала Лизюкова, 38;225;7;9
улица Генерала Лизюкова, 101;99;3;9
улица Генерала Лизюкова, 91-б;67;1;12
улица Генерала Лизюкова, 59;112;1;16
улица Генерала Лизюкова, 79;126;1;16
улица Генерала Лизюкова, 89;128;1;16
улица Генерала Лизюкова, 71;143;4;9
улица Генерала Лизюкова, 25;140;4;9
улица Генерала Лизюкова, 91;143;4;9
улица Генерала Лизюкова, 29;144;4;9
улица Шишкова, 142;408;5;17
улица Шишкова, 71;128;4;9
улица Шишкова, 57;124;3;1
улица Шишкова, 70-а;179;5;10
улица Шишкова, 95-а;112;1;16
улица Шишкова, 144-б;620;10;10
улица Шишкова, 72/5;267;2;17
улица Шишкова, 72-б;193;12;45
улица Шишкова, 107;119;3;10
улица Шишкова, 99;160;4;10
улица Шишкова, 72/1;425;3;17
улица Шишкова, 95;120;3;10
улица Шишкова, 146;408;5;43
улица Шишкова, 72/3;425;3;17
улица Шишкова, 144-в;580;10;10
улица Шишкова, 72/4;425;3;17
улица Шишкова, 107-а;112;1;16
улица Шишкова, 72/2;425;3;17
улица Шишкова, 105;157;4;10
улица Шишкова, 142/8;309;5;10
улица Шишкова, 61;215;6;9
улица Шишкова, 97;239;6;10
улица Шишкова, 4-а;138;1;9
улица Шишкова, 142/5;579;10;10
улица Шишкова, 1;117;3;9
улица Шишкова, 6;161;4;9
улица Шишкова, 70;362;3;17
улица Шишкова, 146-б;620;10;10
улица Шишкова, 101;199;5;10
улица Шишкова, 144;408;5;43
улица Шишкова, 146-в;580;10;10
улица Шишкова, 73;160;4;10
улица Шишкова, 105-а;111;1;16
улица Шишкова, 103-а;112;1;16
улица Шишкова, 65;128;5;9
улица Шишкова, 8;107;2;9
улица Шишкова, 75;198;5;10
улица Шишкова, 63;104;2;9
улица Хользунова, 60-б;312;5;17
улица Хользунова, 66;276;1;9
улица Хользунова, 82;142;4;9
улица Хользунова, 112;139;4;9
улица Хользунова, 125;162;5;9
улица Хользунова, 68;266;1;9
